Product,Quantity Ordered,Total Revenue,Month
Apple Airpods Headphones,1359,203850.0,May
Bose SoundSport Headphones,1174,117388.26,May
Flatscreen TV,399,119700.0,May
Google Phone,480,288000.0,May
LG Dryer,76,45600.0,May
LG Washing Machine,64,38400.0,May
Lightning Charging Cable,2077,31051.149999999998,May
Macbook Pro Laptop,463,787100.0,May
ThinkPad Laptop,368,367996.32,May
USB-C Charging Cable,2069,24724.55,May
Vareebadd Phone,186,74400.0,May
Wired Headphones,1875,22481.25,May
iPhone,639,447300.0,May
20in Monitor,321,35306.79,June
27in 4K Gaming Monitor,452,176275.48,June
27in FHD Monitor,568,85194.32,June
34in Ultrawide Monitor,454,172515.46,June
AA Batteries (4-pack),2095,8044.799999999999,June
AAA Batteries (4-pack),2160,6458.400000000001,June
Apple Airpods Headphones,1167,175050.0,June
Bose SoundSport Headphones,984,98390.15999999999,June
Flatscreen TV,367,110100.0,June
Google Phone,391,234600.0,June
LG Dryer,43,25800.0,June
LG Washing Machine,55,33000.0,June
Lightning Charging Cable,1688,25235.6,June
Macbook Pro Laptop,356,605200.0,June
ThinkPad Laptop,315,314996.85,June
USB-C Charging Cable,1676,20028.199999999997,June
Vareebadd Phone,155,62000.0,June
Wired Headphones,1476,17697.24,June
iPhone,532,372400.0,June
20in Monitor,327,35966.729999999996,July
27in 4K Gaming Monitor,483,188365.17,July
27in FHD Monitor,605,90743.95000000001,July
34in Ultrawide Monitor,462,175555.38,July
AA Batteries (4-pack),2072,7956.48,July
AAA Batteries (4-pack),2366,7074.34,July
Apple Airpods Headphones,1221,183150.0,July
Bose SoundSport Headphones,1060,105989.4,July
Flatscreen TV,399,119700.0,July
Google Phone,411,246600.0,July
LG Dryer,55,33000.0,July
LG Washing Machine,52,31200.0,July
Lightning Charging Cable,1812,27089.399999999998,July
Macbook Pro Laptop,368,625600.0,July
ThinkPad Laptop,318,317996.82,July
USB-C Charging Cable,1847,22071.649999999998,July
Vareebadd Phone,145,58000.0,July
Wired Headphones,1563,18740.37,July
iPhone,503,352100.0,July
20in Monitor,262,28817.379999999997,August
27in 4K Gaming Monitor,439,171205.61000000002,August
27in FHD Monitor,492,73795.08,August
34in Ultrawide Monitor,381,144776.19,August
AA Batteries (4-pack),1826,7011.84,August
AAA Batteries (4-pack),2019,6036.81,August
Apple Airpods Headphones,1010,151500.0,August
Bose SoundSport Headphones,880,87991.2,August
Flatscreen TV,331,99300.0,August
Google Phone,360,216000.0,August
LG Dryer,46,27600.0,August
LG Washing Machine,48,28800.0,August
Lightning Charging Cable,1441,21542.95,August
Macbook Pro Laptop,299,508300.0,August
ThinkPad Laptop,275,274997.25,August
USB-C Charging Cable,1462,17470.899999999998,August
Vareebadd Phone,143,57200.0,August
Wired Headphones,1290,15467.1,August
iPhone,438,306600.0,August
20in Monitor,277,30467.23,September
27in 4K Gaming Monitor,382,148976.18,September
27in FHD Monitor,482,72295.18000000001,September
34in Ultrawide Monitor,378,143636.22,September
AA Batteries (4-pack),1773,6808.32,September
AAA Batteries (4-pack),1927,5761.7300000000005,September
Apple Airpods Headphones,968,145200.0,September
Bose SoundSport Headphones,830,82991.7,September
Flatscreen TV,294,88200.0,September
Google Phone,342,205200.0,September
LG Dryer,30,18000.0,September
LG Washing Machine,46,27600.0,September
Lightning Charging Cable,1433,21423.35,September
Macbook Pro Laptop,288,489600.0,September
ThinkPad Laptop,249,248997.51,September
USB-C Charging Cable,1594,19048.3,September
Vareebadd Phone,126,50400.0,September
Wired Headphones,1302,15610.98,September
iPhone,398,278600.0,September
20in Monitor,428,47075.72,October
27in 4K Gaming Monitor,723,281962.77,October
27in FHD Monitor,792,118792.08,October
34in Ultrawide Monitor,672,255353.28,October
AA Batteries (4-pack),2939,11285.76,October
AAA Batteries (4-pack),3362,10052.380000000001,October
Apple Airpods Headphones,1674,251100.0,October
Bose SoundSport Headphones,1465,146485.35,October
Flatscreen TV,525,157500.0,October
Google Phone,597,358200.0,October
LG Dryer,50,30000.0,October
LG Washing Machine,61,36600.0,October
Lightning Charging Cable,2570,38421.5,October
Macbook Pro Laptop,525,892500.0,October
ThinkPad Laptop,460,459995.4,October
USB-C Charging Cable,2669,31894.55,October
Vareebadd Phone,203,81200.0,October
Wired Headphones,2274,27265.260000000002,October
iPhone,716,501200.0,October
20in Monitor,421,46305.79,November
27in 4K Gaming Monitor,578,225414.22,November
27in FHD Monitor,718,107692.82,November
34in Ultrawide Monitor,550,208994.5,November
AA Batteries (4-pack),2630,10099.199999999999,November
AAA Batteries (4-pack),3027,9050.730000000001,November
Apple Airpods Headphones,1510,226500.0,November
Bose SoundSport Headphones,1251,125087.48999999999,November
Flatscreen TV,461,138300.0,November
Google Phone,492,295200.0,November
LG Dryer,56,33600.0,November
LG Washing Machine,53,31800.0,November
Lightning Charging Cable,2213,33084.35,November
Macbook Pro Laptop,440,748000.0,November
ThinkPad Laptop,374,373996.26,November
USB-C Charging Cable,2255,26947.25,November
Vareebadd Phone,177,70800.0,November
Wired Headphones,1938,23236.62,November
iPhone,664,464800.0,November
20in Monitor,571,62804.28999999999,December
27in 4K Gaming Monitor,861,335781.39,December
27in FHD Monitor,965,144740.35,December
34in Ultrawide Monitor,849,322611.51,December
AA Batteries (4-pack),3718,14277.119999999999,December
AAA Batteries (4-pack),4240,12677.6,December
Apple Airpods Headphones,2079,311850.0,December
Bose SoundSport Headphones,1825,182481.75,December
Flatscreen TV,665,199500.0,December
Google Phone,716,429600.0,December
LG Dryer,86,51600.0,December
LG Washing Machine,80,48000.0,December
Lightning Charging Cable,3089,46180.549999999996,December
Macbook Pro Laptop,644,1094800.0,December
ThinkPad Laptop,541,540994.59,December
USB-C Charging Cable,3251,38849.45,December
Vareebadd Phone,285,114000.0,December
Wired Headphones,2748,32948.520000000004,December
iPhone,908,635600.0,December
